batch,pair,source_name,target_name,cost_9,angle_9,cost_16,angle_16,cost_32,angle_32,cost_64,angle_64,cost_128,angle_128,cost_196,angle_196,cost_256,angle_256,cost_384,angle_384,cost_512,angle_512,angle_global,cost_global
004_03,1,004 HE R1_3.vsi - 20x_03.tif,004_ST_V19S23_108_3_03.tif,-0.0860515832901001,0,-0.12846986949443817,0,-0.18634697794914246,0,-0.24296227097511292,0,-0.32629871368408203,180,-0.39978790283203125,336,-0.49442893266677856,336,-0.5930155515670776,336,-0.6792948842048645,336,336.0,-0.6129138469696045
004_03,2,004_ST_V19S23_108_3_03.tif,004_MP_F3.vsi - 20x_BF_03.tif,-0.08316543698310852,0,-0.13075077533721924,0,-0.18482333421707153,0,-0.2352130264043808,0,-0.28511345386505127,180,-0.3339543640613556,181,-0.4095538258552551,215,-0.5096814036369324,215,-0.5898187160491943,215,215.0,-0.5498398542404175
004_03,3,004_MP_F3.vsi - 20x_BF_03.tif,004 M+ V6 HES.vsi - 20x_BF_03.tif,-0.08836983144283295,0,-0.13766072690486908,0,-0.19056163728237152,0,-0.2331857681274414,0,-0.27779287099838257,0,-0.35118308663368225,176,-0.4368385076522827,175,-0.537519633769989,176,-0.62446528673172,176,174.0,-0.5655475854873657
004_03,4,004 M+ V6 HES.vsi - 20x_BF_03.tif,004 M- V7 HES.vsi - 20x_BF_03.tif,-0.09732387959957123,0,-0.13930246233940125,0,-0.18536190688610077,0,-0.23743653297424316,0,-0.31355372071266174,0,-0.40339455008506775,8,-0.5031158328056335,8,-0.6099733710289001,13,-0.6959552764892578,9,13.0,-0.5610271692276001
004_03,5,004 M- V7 HES.vsi - 20x_BF_03.tif,004 MM V8_01.vsi - 20x_BF_03.tif,-0.08397580683231354,0,-0.13256444036960602,0,-0.18672753870487213,0,-0.21220362186431885,0,-0.2169163078069687,270,-0.24473285675048828,89,-0.3208310604095459,85,-0.42591729760169983,32,-0.515518069267273,33,42.0,-0.44409918785095215
004_03,6,004 MM V8_01.vsi - 20x_BF_03.tif,004_LPS_F9_094427_202205.vsi - 40x_BF_03.tif,-0.0809512585401535,0,-0.137075737118721,0,-0.19924500584602356,0,-0.2324276864528656,0,-0.26365768909454346,180,-0.2813592851161957,269,-0.33678993582725525,181,-0.41896235942840576,269,-0.5092501044273376,356,356.0,-0.42506885528564453
004_03,7,004_LPS_F9_094427_202205.vsi - 40x_BF_03.tif,004_LTA_F10_095800_202205.vsi - old_04 40x_BF_03.tif,-0.07306651026010513,0,-0.13142827153205872,0,-0.19073545932769775,0,-0.21855628490447998,0,-0.23390178382396698,270,-0.20890530943870544,271,-0.2505044937133789,275,-0.2347058802843094,139,-0.3411230146884918,140,140.0,-0.3300696909427643
004_03,8,004_LTA_F10_095800_202205.vsi - old_04 40x_BF_03.tif,004 HE R11_3.vsi - 20x_03.tif,-0.07197625190019608,0,-0.1226327046751976,0,-0.1754908412694931,0,-0.2247425615787506,270,-0.23258695006370544,270,-0.23860900104045868,150,-0.28354936838150024,1,-0.3460215926170349,171,-0.38528648018836975,215,215.0,-0.41022369265556335
004_03,9,004 HE R11_3.vsi - 20x_03.tif,004 HE R21_3.vsi - 20x_03.tif,-0.0920095294713974,0,-0.14202634990215302,0,-0.20661593973636627,0,-0.2799060642719269,0,-0.35806506872177124,0,-0.431031197309494,179,-0.5367082357406616,179,-0.6322823762893677,158,-0.7092724442481995,171,158.0,-0.6409806609153748
046_04,1,046 HE R1_1.vsi - 20x_04.tif,046_ST_V10A20_011_4_04.tif,-0.08093708753585815,0,-0.12440989166498184,0,-0.18296414613723755,0,-0.277851402759552,90,-0.42115694284439087,89,-0.5646536946296692,13,-0.6653724312782288,13,-0.7849763035774231,13,-0.8338198661804199,13,13.0,-0.7742606401443481
