batch,pair,source_name,target_name,cost_9,angle_9,cost_16,angle_16,cost_32,angle_32,cost_64,angle_64,cost_128,angle_128,cost_196,angle_196,cost_256,angle_256,cost_384,angle_384,cost_512,angle_512,angle_global,cost_global
048_01,7,048_LPS_F9_095142_202205.vsi - 40x_BF_01.tif,048_LTA_F10_100505_202205.vsi - 40x_BF_01.tif,-0.10124347358942032,164,-0.07331223040819168,164,-0.0753556564450264,168,-0.1060275286436081,169,-0.2075951248407364,168,-0.29100942611694336,169,-0.392422616481781,168,-0.4307973086833954,175,-0.5264443159103394,169,169.0,-0.585423469543457
048_01,8,048_LTA_F10_100505_202205.vsi - 40x_BF_01.tif,048 HE R11_1.vsi - 20x_01.tif,-0.11046116054058075,107,-0.09008032083511353,107,-0.09672173857688904,107,-0.12684808671474457,107,-0.20691704750061035,107,-0.28858858346939087,107,-0.3650851845741272,107,-0.5293397903442383,107,-0.5607445240020752,107,107.0,-0.5980033874511719
048_01,9,048 HE R11_1.vsi - 20x_01.tif,048 HE R21_1.vsi - 20x_01.tif,-0.10920411348342896,294,-0.0756867453455925,296,-0.06831841170787811,294,-0.09577233344316483,296,-0.19855080544948578,127,-0.318947434425354,110,-0.39409109950065613,116,-0.45830032229423523,116,-0.5426843762397766,116,176.0,-0.5393098592758179
001_01,1,001 HE R1_1.vsi - 20x_01.tif,001_ST_V19S23_106_1_01.tif,-0.11346818506717682,26,-0.07813969254493713,27,-0.08196286112070084,27,-0.14852137863636017,27,-0.3225332796573639,27,-0.4924050569534302,26,-0.6118425130844116,28,-0.7304956912994385,27,-0.7708449363708496,27,27.0,-0.7685494422912598
001_01,2,001_ST_V19S23_106_1_01.tif,001_MP_F3.vsi - 20x_BF_01.tif,-0.09234263002872467,16,-0.05627570301294327,16,-0.0511653833091259,194,-0.09554223716259003,190,-0.23742923140525818,15,-0.38959136605262756,14,-0.4907480478286743,14,-0.6463661193847656,13,-0.7137344479560852,12,11.0,-0.7353151440620422
001_01,3,001_MP_F3.vsi - 20x_BF_01.tif,001 M+ V6 HES.vsi - 20x_BF_01.tif,-0.09573034942150116,228,-0.06292653828859329,228,-0.05458901822566986,43,-0.09652656316757202,43,-0.2162894457578659,226,-0.33444398641586304,227,-0.4310893416404724,227,-0.5980246663093567,242,-0.6608708500862122,242,242.0,-0.6792855858802795
001_01,4,001 M+ V6 HES.vsi - 20x_BF_01.tif,001 M- V7 HES.vsi - 20x_BF_01.tif,-0.10091535747051239,303,-0.06438205391168594,304,-0.053311098366975784,286,-0.08500241488218307,304,-0.19172169268131256,91,-0.320902019739151,92,-0.4297046959400177,314,-0.5753381848335266,306,-0.6349477767944336,92,92.0,-0.6328186988830566
001_01,5,001 M- V7 HES.vsi - 20x_BF_01.tif,001  MM V8.vsi - 20x_BF_01.tif,-0.09195345640182495,280,-0.059900831431150436,280,-0.049247995018959045,280,-0.07131258398294449,279,-0.18386121094226837,280,-0.3183641731739044,274,-0.4220118522644043,279,-0.5820416212081909,275,-0.6357212662696838,275,275.0,-0.6623403429985046
001_01,6,001  MM V8.vsi - 20x_BF_01.tif,001_LPS_F9_094012_202205.vsi - 40x_BF_01.tif,-0.08910029381513596,121,-0.05584755539894104,121,-0.04418818652629852,115,-0.07414828985929489,344,-0.18525834381580353,129,-0.33322638273239136,128,-0.4228041470050812,129,-0.546696662902832,343,-0.5939483642578125,129,129.0,-0.6313751339912415
001_01,7,001_LPS_F9_094012_202205.vsi - 40x_BF_01.tif,001_LTA_F10_095324_202205.vsi - 40x_BF_01.tif,-0.08871105313301086,308,-0.05406073108315468,149,-0.047133225947618484,140,-0.08011879771947861,140,-0.17793411016464233,314,-0.2992341220378876,322,-0.4101245701313019,315,-0.5246177315711975,316,-0.5604760050773621,316,316.0,-0.5876567363739014
